Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,4200.0 um
Duration,140 sec
Resolution,0.100 um/sample
Force,6.00 mg
Measurement Range,524 um
Profile,Hills
Display Range,Auto
R. Cursor,Pos: 0.0 um Width: 0.0 um
M. Cursor,Pos: 4200.0 um Width: 0.0 um
Title,Etch process DOE

Analytical Results
Function,R.Cur Pos,R.Cur Width,M.Cur Pos,M.Cur Width,Result
1.5,-0.00394,0.21228,,
1.6,0.02222,0.23736,,
1.7,0.04865,0.26263,,
1.8,0.07397,0.28660,,
1.9,0.09686,0.30815,,
2.0,0.11483,0.32662,,
2.1,0.12884,0.34220,,
2.2,0.14169,0.35608,,
2.3,0.15365,0.36981,,
2.4,0.16756,0.38487,,
2.5,0.18545,0.40218,,
2.6,0.20550,0.42165,,
2.7,0.22790,0.44261,,
2.8,0.25060,0.46373,,
2.9,0.27115,0.48342,,
3.0,0.28973,0.50013,,
3.1,0.30326,0.51271,,
3.2,0.30980,0.52061,,
3.3,0.31277,0.52466,,
3.4,0.31227,0.52621,,
3.5,0.31126,0.52623,,
3.6,0.31201,0.52710,,
3.7,0.31363,0.52827,,
3.8,0.31625,0.52950,,
3.9,0.31789,0.53035,,
4.0,0.31622,0.52779,,
4.1,0.31157,0.52319,,
4.2,0.30431,0.51590,,
4.3,0.29353,0.50646,,
4.4,0.28161,0.49576,,
4.5,0.27058,0.48436,,
4.6,0.25949,0.47250,,
4.7,0.24716,0.45981,,
4.8,0.23372,0.44612,,
4.9,0.21799,0.43144,,
5.0,0.20214,0.41649,,
5.1,0.18736,0.40179,,
5.2,0.17353,0.38804,,
5.3,0.16052,0.37511,,
5.4,0.14954,0.36243,,
5.5,0.13777,0.34901,,
5.6,0.12246,0.33383,,
5.7,0.10500,0.31636,,
5.8,0.08499,0.29648,,
5.9,0.06239,0.27484,,
6.0,0.03870,0.25203,,
6.1,0.01543,0.22911,,
6.2,-0.00793,0.20666,,
6.3,-0.02902,0.18529,,
6.4,-0.04872,0.16479,,
6.5,-0.06825,0.14479,,
6.6,-0.08763,0.12449,,
6.7,-0.10819,0.10337,,
6.8,-0.13123,0.08101,,
6.9,-0.15462,0.05770,,
7.0,-0.17917,0.03376,,
7.1,-0.20392,0.00999,,
7.2,-0.22702,-0.01323,,
7.3,-0.24891,-0.03548,,
7.4,-0.27058,-0.05719,,
7.5,-0.29060,-0.07860,,
7.6,-0.31226,-0.10065,,
7.7,-0.33525,-0.12378,,
7.8,-0.35930,-0.14882,,
7.9,-0.38616,-0.17608,,
8.0,-0.41659,-0.20556,,
8.1,-0.44873,-0.23644,,
8.2,-0.48149,-0.26765,,
8.3,-0.51224,-0.29801,,
8.4,-0.54040,-0.32708,,
8.5,-0.56779,-0.35527,,
8.6,-0.59480,-0.38361,,
8.7,-0.62299,-0.41344,,
8.8,-0.65508,-0.44589,,
8.9,-0.69094,-0.48130,,
9.0,-0.73022,-0.51951,,
9.1,-0.77117,-0.55958,,
9.2,-0.81275,-0.60032,,
9.3,-0.85432,-0.64094,,
9.4,-0.89359,-0.68069,,
9.5,-0.93213,-0.71978,,
9.6,-0.97017,-0.75859,,
9.7,-1.00852,-0.79778,,
9.8,-1.04892,-0.83802,,
9.9,-1.09019,-0.87958,,
10.0,-1.13293,-0.92273,,
10.1,-1.17804,-0.96752,,
10.2,-1.22449,-1.01394,,
10.3,-1.27231,-1.06179,,
10.4,-1.32206,-1.11115,,
10.5,-1.37195,-1.16178,,
10.6,-1.42428,-1.21365,,
10.7,-1.47814,-1.26644,,
10.8,-1.53096,-1.31991,,
10.9,-1.58472,-1.37368,,
11.0,-1.63978,-1.42751,,
