Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,4200.0 um
Duration,140 sec
Resolution,0.100 um/sample
Force,6.00 mg
Measurement Range,524 um
Profile,Hills
Display Range,Auto
R. Cursor,Pos: 0.0 um Width: 0.0 um
M. Cursor,Pos: 4200.0 um Width: 0.0 um
Title,Etch process DOE

Analytical Results
Function,R.Cur Pos,R.Cur Width,M.Cur Pos,M.Cur Width,Result
15.6,0.92414,-0.94810,,
15.7,0.91628,-0.95460,,
15.8,0.90918,-0.96173,,
15.9,0.90230,-0.96936,,
16.0,0.89400,-0.97798,,
16.1,0.88484,-0.98830,,
16.2,0.87253,-1.00059,,
16.3,0.85607,-1.01496,,
16.4,0.84051,-1.03056,,
16.5,0.82386,-1.04716,,
16.6,0.80645,-1.06414,,
16.7,0.78919,-1.08147,,
16.8,0.77122,-1.09887,,
16.9,0.75346,-1.11632,,
17.0,0.73704,-1.13379,,
17.1,0.71917,-1.15170,,
17.2,0.70045,-1.17069,,
17.3,0.68125,-1.19148,,
17.4,0.65785,-1.21451,,
17.5,0.63119,-1.23979,,
17.6,0.60399,-1.26690,,
17.7,0.57511,-1.29541,,
17.8,0.54538,-1.32464,,
17.9,0.51531,-1.35385,,
18.0,0.48518,-1.38209,,
18.1,0.45846,-1.40827,,
18.2,0.43543,-1.43249,,
18.3,0.41469,-1.45550,,
18.4,0.39264,-1.47956,,
18.5,0.36748,-1.50644,,
18.6,0.33582,-1.53724,,
18.7,0.29893,-1.57094,,
18.8,0.26119,-1.60492,,
18.9,0.22697,-1.63555,,
19.0,0.20100,-1.65969,,
19.1,0.18591,-1.67559,,
19.2,0.17965,-1.68344,,
19.3,0.18053,-1.68526,,
19.4,0.18578,-1.68070,,
19.5,0.19362,-1.67390,,
19.6,0.20290,-1.66523,,
19.7,0.21225,-1.65556,,
19.8,0.22290,-1.64498,,
19.9,0.23410,-1.63372,,
20.0,0.24607,-1.62174,,
20.1,0.25888,-1.60916,,
20.2,0.27183,-1.59599,,
