Scan Parameters

Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,4200.0 um
Duration,140 sec
Resolution,0.100 um/sample
Force,6.00 mg
Measurement Range,524 um
Profile,Hills
Display Range,Auto
R. Cursor,Pos: 0.0 um Width: 0.0 um
M. Cursor,Pos: 4200.0 um Width: 0.0 um
Title,Etch process DOE


Analytical Results

Function,R.Cur Pos,R.Cur Width,M.Cur Pos,M.Cur Width,Result
14.3,-0.24433,-0.80379,,
14.4,-0.25158,-0.81133,,
14.5,-0.25935,-0.81956,,
14.6,-0.26815,-0.82867,,
14.7,-0.27820,-0.83902,,
14.8,-0.29017,-0.85049,,
14.9,-0.30362,-0.86285,,
15.0,-0.31624,-0.87511,,
15.1,-0.32882,-0.88688,,
15.2,-0.33916,-0.89731,,
15.3,-0.34820,-0.90628,,
15.4,-0.35590,-0.91348,,
15.5,-0.36100,-0.91900,,
15.6,-0.36433,-0.92309,,
15.7,-0.36714,-0.92613,,
15.8,-0.36945,-0.92838,,
15.9,-0.37133,-0.92982,,
16.0,-0.37218,-0.93060,,
16.1,-0.37108,-0.92902,,
16.2,-0.36836,-0.92637,,
16.3,-0.36364,-0.92256,,
16.4,-0.35818,-0.91817,,
16.5,-0.35402,-0.91378,,
16.6,-0.35020,-0.90937,,
16.7,-0.34617,-0.90481,,
16.8,-0.34099,-0.89941,,
16.9,-0.33490,-0.89305,,
17.0,-0.32677,-0.88541,,
17.1,-0.31813,-0.87687,,
17.2,-0.30851,-0.86757,,
17.3,-0.29838,-0.85786,,
17.4,-0.28871,-0.84807,,
17.5,-0.27864,-0.83828,,
17.6,-0.26909,-0.82875,,
17.7,-0.25982,-0.81925,,
17.8,-0.25071,-0.80969,,
17.9,-0.24102,-0.79967,,
18.0,-0.23037,-0.78902,,
18.1,-0.21866,-0.77769,,
18.2,-0.20655,-0.76569,,
18.3,-0.19443,-0.75344,,
18.4,-0.18118,-0.74114,,
18.5,-0.16894,-0.72936,,
18.6,-0.15811,-0.71849,,
18.7,-0.14815,-0.70854,,
18.8,-0.14002,-0.69947,,
18.9,-0.13147,-0.69074,,
19.0,-0.12264,-0.68238,,
19.1,-0.11429,-0.67448,,
19.2,-0.10679,-0.66760,,
19.3,-0.10094,-0.66209,,
19.4,-0.09771,-0.65826,,
19.5,-0.09545,-0.65603,,
19.6,-0.09452,-0.65489,,
19.7,-0.09569,-0.65625,,
19.8,-0.09789,-0.65832,,
19.9,-0.10181,-0.66133,,
20.0,-0.10570,-0.66439,,
20.1,-0.10863,-0.66704,,
20.2,-0.11017,-0.66872,,
20.3,-0.11085,-0.66967,,
20.4,-0.11035,-0.66922,,
20.5,-0.10926,-0.66799,,
20.6,-0.10791,-0.66596,,
20.7,-0.10388,-0.66288,,
20.8,-0.10002,-0.65955,,
20.9,-0.09586,-0.65621,,
21.0,-0.09315,-0.65388,,
21.1,-0.09207,-0.65237,,
21.2,-0.09259,-0.65284,,
21.3,-0.09393,-0.65414,,
21.4,-0.09627,-0.65618,,
21.5,-0.09962,-0.65868,,
21.6,-0.10196,-0.66103,,
21.7,-0.10424,-0.66333,,
21.8,-0.10566,-0.66567,,
21.9,-0.10783,-0.66884,,
22.0,-0.11223,-0.67354,,
22.1,-0.11881,-0.67994,,
22.2,-0.12807,-0.68798,,
22.3,-0.13743,-0.69710,,
22.4,-0.14684,-0.70690,,
22.5,-0.15756,-0.71713,,
22.6,-0.16822,-0.72752,,
22.7,-0.17874,-0.73822,,
22.8,-0.18908,-0.74932,,
22.9,-0.20055,-0.76136,,
23.0,-0.21379,-0.77447,,
23.1,-0.22900,-0.78853,,
23.2,-0.24417,-0.80263,,
23.3,-0.25822,-0.81596,,
23.4,-0.27001,-0.82759,,
23.5,-0.27972,-0.83735,,
23.6,-0.28697,-0.84486,,
23.7,-0.29303,-0.85040,,
23.8,-0.29603,-0.85371,,
23.9,-0.29717,-0.85560,,
24.0,-0.29657,-0.85506,,
24.1,-0.29507,-0.85396,,
24.2,-0.29253,-0.85211,,
24.3,-0.29093,-0.85021,,
24.4,-0.28862,-0.84786,,
24.5,-0.28675,-0.84488,,
24.6,-0.28327,-0.84046,,
24.7,-0.27653,-0.83425,,
24.8,-0.26786,-0.82599,,
24.9,-0.25811,-0.81589,,
25.0,-0.24584,-0.80420,,
25.1,-0.23242,-0.79129,,
25.2,-0.21870,-0.77754,,
25.3,-0.20380,-0.76355,,
25.4,-0.18934,-0.74988,,
25.5,-0.17680,-0.73681,,
25.6,-0.16487,-0.72411,,
25.7,-0.15279,-0.71152,,
25.8,-0.13952,-0.69846,,
25.9,-0.12589,-0.68509,,
26.0,-0.11173,-0.67152,,
26.1,-0.09828,-0.65837,,
26.2,-0.08552,-0.64604,,
26.3,-0.07404,-0.63482,,
26.4,-0.06471,-0.62511,,
26.5,-0.05590,-0.61644,,
26.6,-0.04929,-0.60885,,
26.7,-0.04237,-0.60194,,
26.8,-0.03510,-0.59565,,
26.9,-0.03014,-0.59026,,
27.0,-0.02545,-0.58595,,
27.1,-0.02190,-0.58318,,
27.2,-0.02119,-0.58161,,
27.3,-0.02204,-0.58389,,
27.4,-0.02631,-0.58798,,
27.5,-0.03341,-0.59439,,
27.6,-0.04218,-0.60267,,
27.7,-0.05253,-0.61214,,
27.8,-0.06298,-0.62232,,
27.9,-0.07273,-0.63303,,
28.0,-0.08404,-0.64467,,
28.1,-0.09668,-0.65742,,
28.2,-0.11112,-0.67115,,
28.3,-0.12679,-0.68541,,
28.4,-0.14067,-0.69925,,
28.5,-0.15392,-0.71199,,
28.6,-0.16587,-0.72288,,
28.7,-0.17428,-0.73156,,
28.8,-0.18019,-0.73798,,
28.9,-0.18433,-0.74240,,
29.0,-0.18655,-0.74520,,
29.1,-0.18824,-0.74726,,
29.2,-0.18887,-0.74887,,
29.3,-0.19084,-0.75090,,
29.4,-0.19340,-0.75344,,
29.5,-0.19674,-0.75683,,
29.6,-0.20091,-0.76099,,
29.7,-0.20589,-0.76602,,
29.8,-0.21159,-0.77214,,
29.9,-0.21859,-0.77939,,
30.0,-0.22776,-0.78815,,
30.1,-0.23743,-0.79819,,
30.2,-0.24930,-0.80951,,
30.3,-0.26216,-0.82158,,
30.4,-0.27463,-0.83405,,
30.5,-0.28730,-0.84651,,
30.6,-0.29983,-0.85883,,
30.7,-0.31138,-0.87107,,
30.8,-0.32355,-0.88347,,
30.9,-0.33649,-0.89607,,
31.0,-0.34958,-0.90841,,
31.1,-0.36245,-0.91960,,
31.2,-0.37231,-0.92840,,
31.3,-0.37786,-0.93372,,
31.4,-0.37938,-0.93630,,
31.5,-0.37598,-0.93323,,
31.6,-0.37018,-0.92875,,
31.7,-0.36350,-0.92274,,
31.8,-0.35683,-0.91633,,
31.9,-0.34998,-0.90983,,
