

Sun Jul 27 18:53:28 2014    prof.txt

         175065414 function calls (174943030 primitive calls) in 456.653 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4739    0.016    0.000    0.503    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:1231(transform)
     2958    0.019    0.000    0.491    0.000 /usr/lib/pymodules/python2.7/matplotlib/axes.py:2659(set_ybound)
       55    0.000    0.000    0.470    0.009 /usr/lib/pymodules/python2.7/matplotlib/pyplot.py:689(gca)
       55    0.000    0.000    0.470    0.009 /usr/lib/pymodules/python2.7/matplotlib/figure.py:1153(gca)
     3300    0.012    0.000    0.462    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:2510(get_transformed_points_and_affine)
     4739    0.024    0.000    0.460    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:2174(transform_affine)
      844    0.019    0.000    0.459    0.001 /usr/lib/pymodules/python2.7/matplotlib/text.py:718(get_window_extent)
     5912    0.023    0.000    0.453    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:2149(_iter_break_from_left_to_right)
     3859    0.008    0.000    0.451    0.000 /usr/lib/pymodules/python2.7/matplotlib/patches.py:580(get_patch_transform)
     1272    0.006    0.000    0.446    0.000 /usr/lib/pymodules/python2.7/matplotlib/lines.py:909(_draw_solid)
     3859    0.043    0.000    0.443    0.000 /usr/lib/pymodules/python2.7/matplotlib/patches.py:567(_update_patch_transform)
       98    0.005    0.000    0.437    0.004 /usr/lib/pymodules/python2.7/matplotlib/axis.py:990(_get_tick_bboxes)
    45611    0.165    0.000    0.422    0.000 /usr/lib/python2.7/weakref.py:79(__setitem__)
     3755    0.009    0.000    0.409    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:276(__array__)
3996/3992    0.022    0.000    0.404    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:1028(get_points)
     1741    0.042    0.000    0.399    0.000 /usr/lib/pymodules/python2.7/matplotlib/text.py:268(_get_layout)
   383071    0.397    0.000    0.397    0.000 {isinstance}
   518314    0.393    0.000    0.393    0.000 {method 'append' of 'list' objects}
     2958    0.049    0.000    0.391    0.000 /usr/lib/pymodules/python2.7/matplotlib/axes.py:2690(set_ylim)
   120925    0.285    0.000    0.381    0.000 /usr/lib/python2.7/UserDict.py:4(__init__)
       94    0.001    0.000    0.379    0.004 /usr/lib/pymodules/python2.7/matplotlib/axis.py:838(set_clip_path)
        1    0.002    0.002    0.375    0.375 /usr/lib/python2.7/dist-packages/scipy/signal/__init__.py:224(<module>)
    15472    0.099    0.000    0.373    0.000 /usr/lib/pymodules/python2.7/matplotlib/artist.py:658(update)
     6014    0.209    0.000    0.372    0.000 /usr/lib/pymodules/python2.7/matplotlib/ticker.py:1286(bin_boundaries)
    17970    0.048    0.000    0.367    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:1347(convert_units)
      376    0.002    0.000    0.353    0.001 /usr/lib/pymodules/python2.7/matplotlib/axis.py:166(set_clip_path)
        1    0.000    0.000    0.353    0.353 dektakWithoutMain.py:304(surface_tilt_levelling)
    24650    0.072    0.000    0.353    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:122(invalidate)
     9235    0.080    0.000    0.343    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:741(__init__)
    81542    0.248    0.000    0.338    0.000 /usr/lib/pymodules/python2.7/matplotlib/cbook.py:475(iterable)
     3384    0.041    0.000    0.330    0.000 /usr/lib/pymodules/python2.7/matplotlib/markers.py:277(_set_circle)
     5924    0.062    0.000    0.317    0.000 /usr/lib/pymodules/python2.7/matplotlib/lines.py:370(set_axes)
