

Sun Jul 27 18:53:28 2014    prof.txt

         175065414 function calls (174943030 primitive calls) in 456.653 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       34    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/scipy/lib/six.py:93(__init__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/random.py:100(seed)
       19    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/dual.py:50(register_func)
        8    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/axes.py:3319(set_ylabel)
       74    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/docstring.py:93(do_copy)
       98    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/ticker.py:1023(tick_values)
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/collections.py:27(Collection)
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/projections/geo.py:246(AitoffAxes)
        6    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/offsetbox.py:298(__init__)
       40    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/compat/_inspect.py:24(isfunction)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/unittest/suite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/projections/polar.py:212(PolarAxes)
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/projections/geo.py:19(GeoAxes)
       51    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/axes.py:803(get_axes_locator)
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/_cm.py:5(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/scipy/sparse/csc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/patches.py:46(Patch)
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/patches.py:2163(FancyBboxPatch)
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:489(fully_overlaps)
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/docstring.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/projections/geo.py:325(HammerAxes)
        2    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/cm.py:163(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/scipy/linalg/decomp_qr.py:1(<module>)
        7    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/pyparsing_py2.py:2520(__init__)
       17    0.000    0.000    0.000    0.000 /usr/lib/python2.7/_weakrefset.py:26(__exit__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/scipy/sparse/bsr.py:1(<module>)
        7    0.000    0.000    0.000    0.000 {numpy.linalg.lapack_lite.dgesv}
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/scipy/integrate/quadrature.py:1(<module>)
       99    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/gridspec.py:399(get_gridspec)
       11    0.000    0.000    0.000    0.000 /usr/lib/python2.7/copy_reg.py:95(_slotnames)
        8    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_tkagg.py:579(destroy)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/unittest/result.py:26(TestResult)
        8    0.000    0.000    0.000    0.000 /usr/lib/python2.7/posixpath.py:104(splitext)
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/patches.py:675(RegularPolygon)
       30    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/pyparsing_py2.py:368(__bool__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/re.py:268(_subx)
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/tight_layout.py:233(get_subplotspec_list)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/machar.py:4(<module>)
       22    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/pyparsing_py2.py:320(__getitem__)
       75    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/pyparsing_py2.py:1392(setWhitespaceChars)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/calendar.py:259(TextCalendar)
      105    0.000    0.000    0.000    0.000 {unichr}
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/__init__.py:693(RcParams)
       30    0.000    0.000    0.000    0.000 /usr/lib/python2.7/_weakrefset.py:81(add)
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/text.py:1679(Annotation)
       79    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/backends/windowing.py:19(SetForegroundWindow)
        8    0.000    0.000    0.000    0.000 {built-in method splitlist}
       57    0.000    0.000    0.000    0.000 /usr/lib/python2.7/inspect.py:838(strseq)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/backends/__init__.py:1(<module>)
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/re.py:248(_compile_repl)
       79    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/backends/windowing.py:17(GetForegroundWindow)
       16    0.000    0.000    0.000    0.000 {built-in method getvar}
        4    0.000    0.000    0.000    0.000 /usr/lib/python2.7/functools.py:17(update_wrapper)
        3    0.000    0.000    0.000    0.000 /usr/lib/python2.7/unittest/result.py:14(failfast)
        3    0.000    0.000    0.000    0.000 /usr/lib/python2.7/tempfile.py:124(rng)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/scipy/sparse/coo.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/ctypes/_endian.py:4(<module>)
        8    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/figure.py:64(__init__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/distutils/version.py:263(__init__)
       47    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/projections/__init__.py:21(get_projection_class)
       74    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/pyparsing_py2.py:1442(streamline)
       31    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/compat/_inspect.py:37(iscode)
       23    0.000    0.000    0.000    0.000 /usr/lib/python2.7/sre_compile.py:52(fixup)
        3    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/pyparsing_py2.py:3093(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/patches.py:951(FancyArrow)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/difflib.py:46(SequenceMatcher)
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/bezier.py:149(BezierSegment)
        8    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/pyplot.py:374(get_fignums)
       12    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/offsetbox.py:579(add_artist)
        6    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/pyparsing_py2.py:2118(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/dateutil/relativedelta.py:6(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/scimath.py:17(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/fft/helper.py:3(<module>)
        8    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/scipy/optimize/nonlin.py:216(_set_doc)
       25    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/linalg/linalg.py:71(isComplexType)
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/distutils/version.py:268(parse)
        3    0.000    0.000    0.000    0.000 /usr/lib/python2.7/ctypes/__init__.py:493(PYFUNCTYPE)
       73    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/docstring.py:110(copy_dedent)
       74    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/docstring.py:91(copy)
        2    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:403(_get_extents)
       49    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/axes.py:1024(get_aspect)
        6    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/cbook.py:605(flatten)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/patches.py:3693(FancyArrowPatch)
        8    0.000    0.000    0.000    0.000 /usr/lib/python2.7/lib-tk/Tkinter.py:846(winfo_rooty)
       47    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/axes.py:2938(set_navigate)
        8    0.000    0.000    0.000    0.000 {sorted}
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/patches.py:1180(Ellipse)
        9    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/cbook.py:1231(safezip)
       47    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/axes.py:794(set_axes_locator)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/getlimits.py:22(finfo)
       33    0.000    0.000    0.000    0.000 {numpy.core.umath.seterrobj}
       71    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/backend_bases.py:3023(set_history_buttons)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/unittest/signals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/path.py:19(Path)
        8    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/linalg/linalg.py:127(_to_native_byte_order)
       64    0.000    0.000    0.000    0.000 {numpy.core.umath.geterrobj}
       12    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/ctypeslib.py:306(prep_simple)
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/spines.py:17(Spine)
        8    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/arrayprint.py:448(_extendLine)
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/patches.py:4024(ConnectionPatch)
        8    0.000    0.000    0.000    0.000 /usr/lib/python2.7/lib-tk/Tkinter.py:237(set)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/sre_parse.py:704(parse_template)
        4    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/getlimits.py:145(<lambda>)
       19    0.000    0.000    0.000    0.000 /usr/lib/python2.7/tokenize.py:44(group)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/scipy/stats/mstats_basic.py:6(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/delaunay/interpolate.py:1(<module>)
        4    0.000    0.000    0.000    0.000 {method 'write' of 'file' objects}
        3    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/cbook.py:565(is_scalar_or_string)
        8    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/backend_bases.py:1194(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/patches.py:1048(YAArrow)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/scipy/stats/distributions.py:782(rv_continuous)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/scipy/sparse/dia.py:1(<module>)
        2    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/tight_layout.py:25(_get_right)
       49    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/artist.py:695(get_zorder)
        2    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/tight_layout.py:29(_get_bottom)
        2    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/tight_layout.py:33(_get_top)
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/pyparsing_py2.py:2374(setResultsName)
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/collections.py:662(PathCollection)
       47    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/gridspec.py:62(set_width_ratios)
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/units.py:44(<module>)
       11    0.000    0.000    0.000    0.000 /usr/lib/python2.7/opcode.py:31(name_op)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/numerictypes.py:384(_set_up_aliases)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/threading.py:654(__init__)
       70    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/pyparsing_py2.py:922(postParse)
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/patches.py:1247(Circle)
        2    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/pyparsing_py2.py:1366(__invert__)
        5    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/function_base.py:1206(trim_zeros)
        5    0.000    0.000    0.000    0.000 {open}
        8    0.000    0.000    0.000    0.000 /usr/lib/python2.7/genericpath.py:85(_splitext)
       17    0.000    0.000    0.000    0.000 /usr/lib/python2.7/_weakrefset.py:20(__enter__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/scipy/lib/six.py:83(__get__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/testing/numpytest.py:1(<module>)
        8    0.000    0.000    0.000    0.000 /usr/lib/python2.7/lib-tk/Tkinter.py:463(focus_set)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/lib-tk/Tkinter.py:375(Misc)
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:736(Bbox)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/dateutil/parser.py:700(_tzparser)
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/patches.py:787(Polygon)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/numeric.py:66(zeros_like)
        4    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/arrayprint.py:627(_digits)
       17    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/linalg/linalg.py:84(_realType)
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/mathtext.py:1016(StandardPsFonts)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/scipy/interpolate/rbf.py:44(<module>)
        8    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/_pylab_helpers.py:107(get_num_fig_managers)
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/patches.py:1152(CirclePolygon)
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/patches.py:759(PathPatch)
        3    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/numerictypes.py:608(obj2sctype)
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/projections/geo.py:405(MollweideAxes)
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/offsetbox.py:1212(AnnotationBbox)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/lib-tk/Dialog.py:3(<module>)
        9    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/ma/core.py:2430(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/collections.py:697(PolyCollection)
        2    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/pyparsing_py2.py:2754(__init__)
       24    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/backend_bases.py:1145(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:1843(IdentityTransform)
       55    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/patches.py:851(Wedge)
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/image.py:32(_AxesImageBase)
        2    0.000    0.000    0.000    0.000 {_ctypes.POINTER}
        8    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/backend_bases.py:1167(__init__)
        3    0.000    0.000    0.000    0.000 /usr/lib/python2.7/tempfile.py:48(_set_cloexec)
       50    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/docstring.py:77(__init__)
       45    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/scipy/lib/decorator.py:52(__iter__)
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/pyplot.py:1696(colormaps)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/scipy/fftpack/realtransforms.py:3(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/patches.py:532(Rectangle)
        6    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/__init__.py:707(__setitem__)
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/patches.py:466(Shadow)
        6    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/ma/core.py:1052(__init__)
       47    0.000    0.000    0.000    0.000 {method 'itervalues' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:338(_get_xmax)
        2    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/pyparsing_py2.py:2890(__str__)
        8    0.000    0.000    0.000    0.000 /usr/lib/python2.7/posixpath.py:119(basename)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/testing/nosetester.py:6(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/_methods.py:4(<module>)
        4    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:333(_get_ymin)
        2    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/pyparsing_py2.py:2876(parseImpl)
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/collections.py:1068(EllipseCollection)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/stride_tricks.py:7(<module>)
        3    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/type_check.py:169(iscomplex)
        9    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/__init__.py:1059(get_backend)
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_agg.py:56(RendererAgg)
       17    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/scipy/sparse/data.py:82(_create_method)
       16    0.000    0.000    0.000    0.000 /usr/lib/python2.7/atexit.py:37(register)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/scipy/sparse/linalg/interface.py:1(<module>)
        5    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/scipy/sparse/linalg/isolve/iterative.py:70(combine)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/ctypes/__init__.py:349(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/collections.py:1036(CircleCollection)
        4    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/pyparsing_py2.py:329(__setitem__)
       44    0.000    0.000    0.000    0.000 {method 'iterkeys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/collections.py:758(BrokenBarHCollection)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/numbers.py:34(Complex)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/oldnumeric/typeconv.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/polynomial/polytemplate.py:11(<module>)
       55    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/scale.py:311(SymmetricalLogScale)
        8    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/figure.py:384(set_tight_layout)
       43    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/scipy/lib/six.py:80(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:243(BboxBase)
        1    0.000    0.000    0.000    0.000 <string>:7(HermiteE)
       13    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/pyparsing_py2.py:1790(charsAsStr)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/socket.py:179(_socketobject)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/scipy/linalg/decomp_lu.py:1(<module>)
        2    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/collections.py:399(set_linewidth)
        1    0.000    0.000    0.000    0.000 <string>:7(Polynomial)
       24    0.000    0.000    0.000    0.000 /usr/lib/python2.7/UserDict.py:70(__contains__)
        7    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/linalg/linalg.py:157(_assertSquareness)
        3    0.000    0.000    0.000    0.000 {filter}
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/polynomial.py:901(_raise_power)
        2    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/collections.py:496(set_facecolor)
        8    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/linalg/linalg.py:151(_assertRank2)
       24    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/getlimits.py:11(_frz)
        8    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/figure.py:1277(add_axobserver)
        2    0.000    0.000    0.000    0.000 {posix.urandom}
        2    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/pyparsing_py2.py:2174(__init__)
        1    0.000    0.000    0.000    0.000 <string>:7(Laguerre)
        1    0.000    0.000    0.000    0.000 <string>:7(Chebyshev)
        1    0.000    0.000    0.000    0.000 <string>:7(Legendre)
        6    0.000    0.000    0.000    0.000 /usr/lib/python2.7/hashlib.py:94(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/StringIO.py:30(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/scipy/interpolate/polyint.py:18(_Interpolator1D)
        6    0.000    0.000    0.000    0.000 {method 'compress' of 'numpy.ndarray' objects}
       50    0.000    0.000    0.000    0.000 {_ctypes.sizeof}
        7    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/legend_handler.py:120(__init__)
        1    0.000    0.000    0.000    0.000 <string>:7(Hermite)
        9    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/scipy/lib/six.py:108(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/format.py:136(<module>)
        3    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/legend.py:791(set_title)
       13    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/oldnumeric/typeconv.py:22(convtypecode)
        2    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/collections.py:525(get_edgecolor)
       37    0.000    0.000    0.000    0.000 /usr/lib/python2.7/abc.py:15(abstractmethod)
        8    0.000    0.000    0.000    0.000 {built-in method globalsetvar}
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/scipy/lib/six.py:106(MovedAttribute)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/numerictypes.py:778(__getitem__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/scipy/lib/__init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/scipy/signal/dltisys.py:3(<module>)
        8    0.000    0.000    0.000    0.000 {matplotlib.backends._tkagg.tkinit}
        3    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/legend_handler.py:268(__init__)
        4    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/legend_handler.py:150(__init__)
        3    0.000    0.000    0.000    0.000 {posix.unlink}
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/scipy/linalg/decomp_svd.py:1(<module>)
       21    0.000    0.000    0.000    0.000 /usr/lib/python2.7/_weakrefset.py:68(__contains__)
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/tight_layout.py:10(<module>)
        4    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/cm.py:128(get_cmap)
        1    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/pyparsing_py2.py:227(ParseFatalException)
        9    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/text.py:952(set_va)
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/scipy/lib/six.py:126(_resolve)
       18    0.000    0.000    0.000    0.000 {_struct.calcsize}
       23    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/oldnumeric/precision.py:31(_lookup)
       24    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/scipy/lib/decorator.py:185(<genexpr>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/compat/_inspect.py:6(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/scipy/sparse/linalg/isolve/minres.py:1(<module>)
        9    0.000    0.000    0.000    0.000 /usr/lib/python2.7/stat.py:40(S_ISDIR)
        6    0.000    0.000    0.000    0.000 {fcntl.fcntl}
       33    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/cm.py:24(_reverser)
       33    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.7/matplotlib/offsetbox.py:222(get_children)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/scipy/linalg/_decomp_qz.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/decimal.py:184(Clamped)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/contextlib.py:54(contextmanager)
